Feature,OLS_Coef,Ridge_Coef,Lasso_Coef,OLS_AbsCoef,Ridge_AbsCoef,Lasso_AbsCoef
country_GEORGIA,-13889256.827240722,-123786.85386005009,-13470503.057028716,13889256.827240722,123786.85386005009,13470503.057028716
country_COSTARICA,13023821.448583283,123466.96263208111,12462802.235692825,13023821.448583283,123466.96263208111,12462802.235692825
country_MADAGASCAR,-10511733.04814909,-96957.84233503939,-10112426.998126036,10511733.04814909,96957.84233503939,10112426.998126036
country_MORROCO,-9876223.09571147,-104641.3973343661,-9472618.890236164,9876223.09571147,104641.3973343661,9472618.890236164
country_DOMINICA,8969454.320335662,103706.21747842652,8414016.92472798,8969454.320335662,103706.21747842652,8414016.92472798
country_ARGENTINA,-8502414.877226386,-85366.94783574562,-8084414.631709449,8502414.877226386,85366.94783574562,8084414.631709449
country_PAKISTAN,8484792.023887875,437362.6669179035,8312640.6067669345,8484792.023887875,437362.6669179035,8312640.6067669345
country_NIGER,-8476597.33312361,-72950.74248596666,-8064734.534003992,8476597.33312361,72950.74248596666,8064734.534003992
country_DENMARK,8225279.65867081,2236032.0655935956,8131763.931269698,8225279.65867081,2236032.0655935956,8131763.931269698
country_TUNISIA,7662949.638612782,63637.23440158723,7078703.198580856,7662949.638612782,63637.23440158723,7078703.198580856
main_activity_Diving and Sport Fishing,7127148.177204407,960786.7305848653,7570128.987566205,7127148.177204407,960786.7305848653,7570128.987566205
country_ANGOLA,-7003036.618253779,-71971.87078967722,-6589834.220675135,7003036.618253779,71971.87078967722,6589834.220675135
country_IVORY COAST,-6957036.274570811,-71819.7380321876,-6540533.115424693,6957036.274570811,71819.7380321876,6540533.115424693
country_MEXICO,6262120.548169079,105606.38224260164,5937426.50760746,6262120.548169079,105606.38224260164,5937426.50760746
country_HUNGARY,-6196140.880637924,-119985.97803285997,-6031454.320429286,6196140.880637924,119985.97803285997,6031454.320429286
payment_mode_Travellers Cheque,5693461.796249774,516570.7136538552,6016124.913977194,5693461.796249774,516570.7136538552,6016124.913977194
country_INDONESIA,5610082.538150189,123822.86061700793,5338438.691601867,5610082.538150189,123822.86061700793,5338438.691601867
country_PHILIPINES,5288612.812421837,80375.33470635975,4960366.810842843,5288612.812421837,80375.33470635975,4960366.810842843
country_QATAR,5106311.39506158,362109.7444030559,4963274.348596428,5106311.39506158,362109.7444030559,4963274.348596428
travel_with_Spouse and Children,5031391.422775823,3788328.4972476354,5128465.251422956,5031391.422775823,3788328.4972476354,5128465.251422956
country_SOUTH AFRICA,4952124.78564434,2973146.629382242,4863584.87010118,4952124.78564434,2973146.629382242,4863584.87010118
country_ALGERIA,-4822650.42562663,-99526.04738505714,-4653191.749595239,4822650.42562663,99526.04738505714,4653191.749595239
payment_mode_Other,-4389978.8170572305,-289524.8892442095,-3944618.330036346,4389978.8170572305,289524.8892442095,3944618.330036346
country_CYPRUS,-4341361.147091861,-48794.82376043261,-3947822.098385199,4341361.147091861,48794.82376043261,3947822.098385199
country_YEMEN,-4318999.542241586,-86145.38508428361,-4160969.628487195,4318999.542241586,86145.38508428361,4160969.628487195
country_ISRAEL,3936533.461957974,509931.3114209527,3824446.657090326,3936533.461957974,509931.3114209527,3824446.657090326
country_URUGUAY,-3595745.938258932,-39528.37285932065,-3190726.073243632,3595745.938258932,39528.37285932065,3190726.073243632
country_SCOTLAND,3458169.8137771045,117092.80843757797,3265326.3348508906,3458169.8137771045,117092.80843757797,3265326.3348508906
country_SLOVENIA,3429411.655999566,33681.35651624786,2876149.4369406686,3429411.655999566,33681.35651624786,2876149.4369406686
country_CHILE,-3399598.166575922,-80908.22585166754,-3236906.241527767,3399598.166575922,80908.22585166754,3236906.241527767
country_AUSTRALIA,3391063.019982403,1902060.4083427174,3309895.2876208574,3391063.019982403,1902060.4083427174,3309895.2876208574
country_CANADA,3364955.743725044,1603735.4804416178,3282304.2226889203,3364955.743725044,1603735.4804416178,3282304.2226889203
age_group_65+,3318346.3087210036,2767318.714770339,4153962.377753368,3318346.3087210036,2767318.714770339,4153962.377753368
country_ITALY,-3241559.905139304,-2693469.6530165547,-3316902.8196281544,3241559.905139304,2693469.6530165547,3316902.8196281544
country_CROATIA,3233150.3482031333,54961.87620996511,2918661.099997871,3233150.3482031333,54961.87620996511,2918661.099997871
country_LITHUANIA,-3226300.033547723,-140689.8985496761,-3183809.031021434,3226300.033547723,140689.8985496761,3183809.031021434
country_NEPAL,-3206102.1136202347,-78644.72253364295,-3052022.8700381387,3206102.1136202347,78644.72253364295,3052022.8700381387
